RRN,Amount,Date,Direction,Exception_Type
,3507.99,2026-01-07,UNKNOWN,SETTLEMENT_ENTRY
636397811101708.0,48768.95,2026-01-07,UNKNOWN,NPCI_FAILED
545710426031509.0,49858.1,2026-01-07,UNKNOWN,NPCI_FAILED
112749282136061.0,47114.61,2026-01-07,UNKNOWN,NPCI_FAILED
398911233934035.0,21536.5,2026-01-07,UNKNOWN,NPCI_FAILED
482384582758777.0,14931.97,2026-01-07,UNKNOWN,NPCI_FAILED
299065303001565.0,44156.04,2026-01-07,INWARD,NPCI_FAILED
947644276065448.0,34524.96,2026-01-07,INWARD,NPCI_FAILED
906407151115427.0,37330.5,2026-01-07,INWARD,NPCI_FAILED
814430856877167.0,40680.17,2026-01-07,INWARD,NPCI_FAILED
638598377270244.0,21928.36,2026-01-07,INWARD,NPCI_FAILED
508338782322100.0,33258.74,2026-01-07,INWARD,NPCI_FAILED
433217854193168.0,49382.71,2026-01-07,INWARD,NPCI_FAILED
415710584236267.0,351.44,2026-01-07,INWARD,NPCI_FAILED
605330120448736.0,15032.04,2026-01-07,INWARD,NPCI_FAILED
141605476081076.0,14277.91,2026-01-07,INWARD,NPCI_FAILED
439586954745672.0,27401.38,2026-01-07,INWARD,NPCI_FAILED
958535375393619.0,8931.9,2026-01-07,INWARD,NPCI_FAILED
175027998422167.0,17583.83,2026-01-07,INWARD,NPCI_FAILED
458320838394781.0,8980.28,2026-01-07,INWARD,NPCI_FAILED
834921684991697.0,9740.82,2026-01-07,INWARD,NPCI_FAILED
451678705642492.0,1460.95,2026-01-07,INWARD,NPCI_FAILED
275050597170883.0,11234.69,2026-01-07,INWARD,NPCI_FAILED
918770016436961.0,38923.24,2026-01-07,INWARD,NPCI_FAILED
622887507884985.0,33643.06,2026-01-07,INWARD,relaxed_match_i
963010729943857.0,37041.59,2026-01-07,INWARD,NPCI_FAILED
546538871719079.0,12773.78,2026-01-07,INWARD,NPCI_FAILED
407582636966039.0,20572.81,2026-01-07,INWARD,NPCI_FAILED
822487463930051.0,31642.2,2026-01-07,INWARD,NPCI_FAILED
790186344877189.0,2186.29,2026-01-07,INWARD,NPCI_FAILED
908726240752217.0,14695.38,2026-01-07,INWARD,NPCI_FAILED
279422579583082.0,30989.32,2026-01-07,INWARD,NPCI_FAILED
606844045342331.0,15666.16,2026-01-07,INWARD,NPCI_FAILED
648767262672218.0,42773.96,2026-01-07,INWARD,NPCI_FAILED
157219825587166.0,48162.8,2026-01-07,INWARD,NPCI_FAILED
883986356551110.0,35273.53,2026-01-07,INWARD,NPCI_FAILED
61001666960154.0,24151.47,2026-01-07,INWARD,NPCI_FAILED
751955727914480.0,42725.76,2026-01-07,INWARD,NPCI_FAILED
72097696163791.0,49642.9,2026-01-07,INWARD,relaxed_match_i
984593670812863.0,3683.8,2026-01-07,INWARD,NPCI_FAILED
978754918857099.0,49041.15,2026-01-07,INWARD,NPCI_FAILED
664845541016450.0,34806.64,2026-01-07,INWARD,NPCI_FAILED
806176215460393.0,9538.61,2026-01-07,INWARD,NPCI_FAILED
828378534972608.0,6675.62,2026-01-07,INWARD,NPCI_FAILED
125357071883677.0,27853.68,2026-01-07,INWARD,relaxed_match_i
303944990450167.0,46216.28,2026-01-07,INWARD,NPCI_FAILED
245116467998546.0,41244.13,2026-01-07,INWARD,NPCI_FAILED
973516795283585.0,2694.28,2026-01-07,INWARD,NPCI_FAILED
493360685907128.0,3304.93,2026-01-07,INWARD,NPCI_FAILED
734256351362904.0,9498.53,2026-01-07,INWARD,NPCI_FAILED
607130317233466.0,13832.22,2026-01-07,INWARD,NPCI_FAILED
49648125372403.0,38903.07,2026-01-07,INWARD,NPCI_FAILED
670919890415906.0,48657.61,2026-01-07,OUTWARD,NPCI_FAILED
845425078880052.0,18809.0,2026-01-07,OUTWARD,TCC_102
392960566229566.0,31709.81,2026-01-07,OUTWARD,TCC_102
802718776723167.0,43246.88,2026-01-07,OUTWARD,TCC_102
44930464671025.0,15450.21,2026-01-07,OUTWARD,NPCI_FAILED
571606489892148.0,43254.72,2026-01-07,OUTWARD,NPCI_FAILED
283076387138985.0,14926.63,2026-01-07,OUTWARD,NPCI_FAILED
707798402842930.0,27720.28,2026-01-07,OUTWARD,NPCI_FAILED
614039536387408.0,19701.25,2026-01-07,OUTWARD,NPCI_FAILED
407176600663745.0,11534.6,2026-01-07,OUTWARD,NPCI_FAILED
74528832523934.0,28286.87,2026-01-07,OUTWARD,NPCI_FAILED
321172428771770.0,11746.16,2026-01-07,OUTWARD,NPCI_FAILED
517277520467920.0,9050.49,2026-01-07,OUTWARD,NPCI_FAILED
608658402368981.0,49070.88,2026-01-07,OUTWARD,TCC_102
810297996855789.0,6226.44,2026-01-07,OUTWARD,relaxed_match_i
682973676677530.0,7218.14,2026-01-07,OUTWARD,TCC_102
427767666185489.0,2191.93,2026-01-07,OUTWARD,TCC_102
526989585658777.0,43722.42,2026-01-07,OUTWARD,NPCI_FAILED
838792402362104.0,36034.43,2026-01-07,OUTWARD,TCC_102
601396350788097.0,42622.6,2026-01-07,OUTWARD,NPCI_FAILED
223965095222471.0,5619.32,2026-01-07,OUTWARD,NPCI_FAILED
119817737461359.0,37724.75,2026-01-07,OUTWARD,relaxed_match_i
282745500356704.0,23734.76,2026-01-07,OUTWARD,TCC_102
677822434302673.0,4084.28,2026-01-07,OUTWARD,NPCI_FAILED
963744231146471.0,18062.63,2026-01-07,OUTWARD,relaxed_match_i
160867085923497.0,8199.99,2026-01-07,OUTWARD,NPCI_FAILED
939137394285359.0,23520.64,2026-01-07,OUTWARD,TCC_102
784302909823978.0,30895.58,2026-01-07,OUTWARD,relaxed_match_i
402868908314816.0,3507.99,2026-01-07,OUTWARD,SETTLEMENT_ENTRY
179770727206845.0,28028.77,2026-01-07,OUTWARD,relaxed_match_i
463561228146473.0,48619.26,2026-01-07,OUTWARD,NPCI_FAILED
464213851005456.0,40101.73,2026-01-07,OUTWARD,TCC_102
841073099205820.0,45939.25,2026-01-07,OUTWARD,relaxed_match_i
726781480912892.0,40550.23,2026-01-07,OUTWARD,NPCI_FAILED
598006253993418.0,34784.36,2026-01-07,OUTWARD,TCC_102
789578694607935.0,48479.73,2026-01-07,OUTWARD,TCC_102
